"Region","States","Max.DemandMet during the day(MW)","Shortage duringmaximum Demand(MW)","Energy Met(MU)","DrawalSchedule(MU)","OD(+)/UD(-)(MU)","Max OD(MW)","EnergyShortage (MU)"
"NR","Punjab","2973","0","57.6","47.2","-1.7","91","0.0"
"","Haryana","3781","0","65.9","60.4","-0.7","213","0.0"
"","Rajasthan","5599","0","105.8","29.3","-8.1","525","0.0"
"","Delhi","2425","0","44.4","33.8","-1.8","139","0.0"
"","UP","11359","0","217.3","95.5","-3.1","438","0.0"
"","Uttarakhand","1044","0","17.0","3.5","-0.4","147","0.0"
"","HP","895","0","12.9","0.7","-0.7","126","0.0"
"","J&K(UT) & Ladakh(UT)","2161","540","42.9","36.0","-1.4","219","9.3"
"","Chandigarh","149","0","2.4","2.5","-0.1","28","0.0"
"WR","Chhattisgarh","3134","0","77.0","22.8","2.3","235","0.0"
"","Gujarat","8962","0","192.3","61.8","2.5","668","0.0"
"","MP","6065","0","131.8","77.4","-2.4","429","0.0"
"","Maharashtra","15819","0","348.2","134.5","-1.1","647","0.0"
"","Goa","343","0","7.0","6.8","0.2","32","0.0"
"","DD","64","0","1.4","1.2","0.2","14","0.0"
"","DNH","86","0","2.0","2.0","0.0","27","0.0"
"","Essar steel","264","0","1.3","1.5","-0.2","82","0.0"
"SR","Andhra Pradesh","8095","0","160.4","77.9","-0.8","281","0.0"
"","Telangana","9953","0","202.7","116.2","-0.1","1036","0.0"
"","Karnataka","10907","0","217.4","68.9","-1.4","520","0.0"
"","Kerala","3546","0","66.6","53.6","0.2","167","0.0"
"","Tamil Nadu","10791","0","244.7","168.5","1.2","374","0.0"
"","Puducherry","207","0","4.1","4.9","-0.8","25","0.0"
"ER","Bihar","4222","0","76.3","74.9","-0.2","126","0.0"
"","DVC","1625","0","33.6","-23.4","0.3","347","0.0"
"","Jharkhand","1209","0","23.7","15.4","-0.7","80","0.0"
"","Odisha","3929","0","80.7","4.9","-0.2","270","0.0"
"","West Bengal","6036","0","117.0","28.4","1.0","329","0.0"
"","Sikkim","95","0","1.3","1.5","-0.2","15","0.0"
"NER","Arunachal Pradesh","107","1","2.0","1.2","0.7","35","0.0"
"","Assam","1337","9","20.6","17.6","0.0","79","0.1"
"","Manipur","176","2","2.5","2.3","0.2","26","0.0"
"","Meghalaya","277","0","4.3","3.7","0.3","230","0.1"
"","Mizoram","94","1","1.8","1.4","0.0","19","0.0"
"","Nagaland","113","2","2.1","1.9","0.1","10","0.0"
"","Tripura","249","1","3.1","2.8","-0.5","42","0.0"
