"RegionRegion","States","Max. Demand Met during the day (MW)","Peak hourShortage (MW)","EnergyMet (MU)","DrawalSchedule (MU)","OD(+)/UD(-) (MU)","MaxOD (MW)"
"NR","Punjab","5011","0","93.5","40.3","-1.3","120"
"","Haryana","4656","0","85.9","58.3","-1.0","273"
"","Rajasthan","7537","0","154.1","36.0","-0.9","304"
"","Delhi","2265","0","43.8","32.3","-1.3","210"
"","UP","11211","400","247.8","103.8","-0.3","588"
"","Uttarakhand","1162","0","22.2","14.4","-1.8","162"
"","HP","824","0","15.2","8.0","-0.3","149"
"","J&K","1714","100","33.2","24.3","-0.4","423"
"","Chandigarh","147","0","2.7","3.0","-0.4","2"
"WR","Chhattisgarh","2636","50","63.8","15.6","-1.2","264"
"","Gujarat","9605","0","205.0","21.9","1.3","734"
"","MP","6157","2","130.2","65.5","-1.1","208"
"","Maharashtra","14619","62","335.3","86.5","8.0","828"
"","Goa","367","0","8.0","6.4","0.7","60"
"","DD","211","0","3.3","3.1","0.1","8"
"","DNH","422","0","7.8","8.4","-0.7","55"
"","Essar steel","494","0","10.1","10.0","0.1","102"
"SR","Andhra Pradesh","11953","500","271.6","98.4","5.3","622"
"","Karnataka","8554","650","189.5","23.4","1.8","261"
"","Kerala","3496","0","64.1","33.4","1.9","267"
"","Tamil Nadu","11835","757","262.9","92.4","0.2","443"
"","Pondy","305","0","5.6","6.1","-0.4","109"
"ER","Bihar","2084","100","42.9","39.6","0.9","170"
"","DVC","2289","0","50.2","-15.2","-4.9","90"
"","Jharkhand","849","0","19.7","9.8","-0.9","30"
"","Odisha","3528","0","69.0","15.7","1.9","250"
"","West Bengal","6550","30","118.0","37.6","4.9","405"
"","Sikkim","107","0","1.1","1.4","-0.3","18"
"NER","Arunachal Pradesh","99","16","1.5","1.3","0.2","46"
"","Assam","988","103","15.5","10.4","0.8","120"
"","Manipur","115","5","1.3","1.6","-0.3","36"
"","Meghalaya","261","9","3.3","2.4","0.1","117"
"","Mizoram","71","4","1.1","1.0","-0.1","21"
"","Nagaland","92","5","1.3","1.2","-0.2","37"
"","Tripura","209","1","3.7","0.4","1.0","34"
