"RegionRegion","States","Max. Demand Met during the day (MW)","Shortage during maximum Demand (MW)","Energy Met (MU)","Drawal Schedule (MU)","OD(+)/UD(-) (MU)","Max OD (MW)","Energy Shortage (MU)"
"NR","Punjab","5880","0","108.8","37.7","-0.1","180","0.0"
"","Haryana","6938","0","125.2","56.7","0.4","196","0.1"
"","Rajasthan","10390","1245","214.3","75.7","2.6","205","3.2"
"","Delhi","3844","0","65.6","52.7","-0.5","111","0.0"
"","UP","14287","310","290.3","86.5","2.0","415","0.6"
"","Uttarakhand","2024","0","36.3","24.4","-0.3","220","0.0"
"","HP","1519","0","28.1","21.5","1.4","106","0.0"
"","J&K","2191","548","49.5","39.7","1.2","192","10.8"
"","Chandigarh","214","0","3.4","3.5","-0.1","7","0.0"
"WR","Chhattisgarh","3344","0","73.2","3.6","0.6","166","0.0"
"","Gujarat","13984","0","301.4","78.4","3.0","585","0.0"
"","MP","12160","0","228.9","152.0","-1.9","512","0.0"
"","Maharashtra","19913","0","411.6","123.7","-0.5","315","0.0"
"","Goa","447","0","9.2","8.8","-0.1","19","0.0"
"","DD","325","0","7.2","6.9","0.4","65","0.0"
"","DNH","755","0","17.6","16.5","1.1","87","0.0"
"","Essar steel","384","0","7.1","6.8","0.3","158","0.0"
"SR","Andhra Pradesh","8040","0","163.0","56.7","1.3","505","0.2"
"","Telangana","8144","0","166.2","77.1","-1.6","314","0.1"
"","Karnataka","9639","0","203.1","85.4","3.2","502","0.2"
"","Kerala","3474","0","66.7","52.4","1.3","342","0.1"
"","Tamil Nadu","13566","0","290.5","145.8","1.5","505","0.3"
"","Pondy","334","0","6.6","7.2","-0.6","25","0.0"
"ER","Bihar","3903","0","65.1","60.3","-1.7","250","0.0"
"","DVC","2956","0","66.8","-36.1","0.8","220","0.0"
"","Jharkhand","1084","0","24.0","13.7","0.0","145","0.3"
"","Odisha","4378","0","75.8","35.5","2.6","300","0.0"
"","West Bengal","5877","0","93.4","6.0","1.5","320","0.0"
"","Sikkim","107","0","1.8","1.7","0.1","21","0.0"
"NER","Arunachal Pradesh","125","3","2.2","1.6","0.5","51","0.0"
"","Assam","1419","21","22.8","16.6","1.8","104","0.3"
"","Manipur","175","4","2.7","2.8","-0.2","4","0.0"
"","Meghalaya","318","0","6.3","3.5","-0.1","30","0.0"
"","Mizoram","88","4","1.7","0.8","0.1","4","0.0"
"","Nagaland","133","3","2.1","1.7","0.2","37","0.0"
"","Tripura","218","3","3.1","2.6","0.7","61","0.0"
