"","NR","WR","SR","ER","NER"
"Schedule(MU)","61.5","-18.7","42.2","-92.5","7.1"
"Actual(MU)","69.5","-24.0","41.4","-97.0","9.2"
"O/D/U/D(MU)","8.0","-5.4","-0.8","-4.5","2.1"
